Date,Closing,Openning,High,Low,Volume
2021-05-09 00:00:00,10228.19,10244.86,10273.28,10209.91,172.4,0.0
2021-05-06 00:00:00,10228.35,10254.88,10258.27,10170.53,245.64,-0.23
2021-05-05 00:00:00,10252.15,10324.7,10332.38,10252.15,241.25,-0.65
2021-05-04 00:00:00,10318.94,10320.96,10354.03,10253.32,238.91,0.09
2021-05-03 00:00:00,10309.37,10381.4,10386.34,10309.37,270.27,-0.54
2021-05-02 00:00:00,10365.51,10406.06,10416.48,10330.72,321.05,-0.51
2021-04-29 00:00:00,10418.98,10493.64,10503.33,10382.49,356.29,-1.07
2021-04-28 00:00:00,10531.22,10328.49,10540.17,10308.6,457.4,2.57
2021-04-27 00:00:00,10267.17,10226.35,10267.17,10205.03,359.5,0.35
2021-04-26 00:00:00,10231.06,10155.11,10231.06,10139.97,309.56,0.87
2021-04-25 00:00:00,10142.48,10139.08,10173.3,10128.99,275.14,0.08
2021-04-22 00:00:00,10134.08,10109.59,10136.66,10092.22,260.56,0.38
2021-04-21 00:00:00,10095.36,10127.94,10142.16,10095.36,251.78,-0.21
2021-04-20 00:00:00,10116.98,10097.01,10125.57,10086.86,345.98,0.19
2021-04-19 00:00:00,10097.65,10062.16,10097.65,10007.38,338.52,0.49
2021-04-18 00:00:00,10048.7,10009.61,10065.05,10006.1,237.44,0.61
2021-04-15 00:00:00,9987.92,9863.29,9987.92,9862.29,225.51,1.42
2021-04-14 00:00:00,9847.62,9820.03,9847.62,9767.01,202.95,0.09
2021-04-13 00:00:00,9838.28,9911.53,9922.0,9838.28,254.23,-0.7
2021-04-12 00:00:00,9907.62,9927.02,9929.65,9846.57,285.6,-0.31
2021-04-11 00:00:00,9938.32,10010.59,10015.76,9921.27,302.39,-0.74
2021-04-08 00:00:00,10012.13,10011.35,10039.23,9977.15,282.44,-0.02
2021-04-07 00:00:00,10014.3,9992.51,10030.35,9979.16,336.29,0.25
2021-04-06 00:00:00,9988.98,9965.18,9995.84,9958.93,396.76,0.24
2021-04-05 00:00:00,9964.84,9969.51,9984.14,9939.6,364.4,0.02
2021-04-04 00:00:00,9962.77,9891.1,9986.16,9862.77,373.2,0.68
2021-04-01 00:00:00,9895.56,9908.07,9938.5,9869.47,328.3,-0.12
2021-03-31 00:00:00,9907.82,9810.52,9909.64,9762.37,507.95,2.83
2021-03-30 00:00:00,9635.34,9610.66,9635.34,9592.28,355.3,0.2
2021-03-29 00:00:00,9615.63,9496.36,9615.63,9492.07,314.74,1.4
2021-03-28 00:00:00,9482.95,9438.6,9508.2,9422.91,252.81,0.69
2021-03-25 00:00:00,9417.71,9463.52,9495.43,9417.71,253.31,-0.49
2021-03-24 00:00:00,9464.08,9462.58,9498.71,9430.66,290.92,-0.27
2021-03-23 00:00:00,9489.63,9546.12,9571.88,9489.63,376.55,-0.61
2021-03-22 00:00:00,9547.42,9500.56,9565.69,9466.84,344.72,0.51
2021-03-21 00:00:00,9498.85,9462.19,9508.42,9454.25,289.28,0.14
2021-03-18 00:00:00,9485.96,9604.45,9624.14,9485.96,355.78,-1.21
2021-03-17 00:00:00,9602.26,9666.49,9673.57,9566.66,472.28,-0.6
2021-03-16 00:00:00,9660.27,9640.31,9698.68,9619.71,727.29,0.15
2021-03-15 00:00:00,9645.74,9678.5,9678.7,9610.72,508.45,-0.2
2021-03-14 00:00:00,9664.61,9611.32,9666.58,9611.32,450.29,0.8
2021-03-11 00:00:00,9587.79,9605.62,9639.88,9549.62,455.91,-0.08
2021-03-10 00:00:00,9595.45,9486.59,9617.31,9486.09,536.31,1.29
2021-03-09 00:00:00,9473.2,9381.64,9487.65,9380.74,571.87,1.05
2021-03-08 00:00:00,9374.37,9353.07,9397.17,9320.35,582.33,0.25
2021-03-07 00:00:00,9351.08,9320.56,9375.35,9320.19,572.99,1.18
2021-03-04 00:00:00,9242.28,9311.16,9311.92,9242.28,507.27,-0.73
2021-03-03 00:00:00,9310.28,9267.84,9314.75,9257.27,531.2,0.67
2021-03-02 00:00:00,9248.28,9159.46,9266.99,9158.98,570.4,1.2
2021-03-01 00:00:00,9138.37,9161.8,9222.98,9132.03,497.68,-0.07
2021-02-28 00:00:00,9144.99,9115.61,9198.65,9099.14,408.62,-0.54
2021-02-25 00:00:00,9194.92,9161.6,9263.16,9161.14,449.56,0.87
2021-02-24 00:00:00,9115.76,9166.81,9217.03,9078.54,545.87,-0.39
2021-02-23 00:00:00,9151.71,9096.86,9177.91,9095.43,465.77,0.82
2021-02-22 00:00:00,9077.62,9090.13,9114.01,9064.02,382.52,-0.09
2021-02-21 00:00:00,9085.97,9067.92,9108.32,9061.8,313.22,0.68
